Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
209,2024-08-24 01:00:00,0.07252805,0,-1.16301462e-03,5.78345344e-02,-3.24726537e-02
210,2024-08-24 02:00:00,0.10103931,0,2.10623330e-03,9.32483984e-02,4.25932408e-02
211,2024-08-24 03:00:00,0.06233876,0,-1.46764524e-03,6.40101376e-02,-3.95256296e-02
212,2024-08-24 04:00:00,0.06260147,0,-7.91949116e-04,5.25981148e-02,-2.36727135e-02
213,2024-08-24 05:00:00,0.04393593,0,-6.01730660e-04,4.38809107e-02,-1.36536697e-02
214,2024-08-24 06:00:00,0.13834413,0,-2.50556721e-03,9.47685174e-02,-8.14777256e-02
215,2024-08-24 07:00:00,0.09139651,0,-2.74291912e-03,7.02644455e-02,-6.88026758e-02
216,2024-08-24 08:00:00,0.07207389,0,1.82567525e-03,4.74061175e-02,4.61910306e-02
217,2024-08-24 09:00:00,0.04231306,0,-2.71651117e-05,4.20913829e-02,1.08480885e-02
218,2024-08-24 10:00:00,0.05613917,0,1.13200456e-03,4.42059890e-02,3.75003546e-02
219,2024-08-24 11:00:00,0.06064840,0,1.81386085e-03,5.33094711e-02,3.99750085e-02
220,2024-08-24 12:00:00,0.06944686,0,2.99869757e-03,6.04493768e-02,7.07877745e-02
221,2024-08-24 13:00:00,0.09872101,0,1.66563812e-03,7.08487593e-02,6.10001946e-02
222,2024-08-24 14:00:00,0.05532088,0,1.67677624e-03,9.11576292e-02,1.91796868e-02
223,2024-08-24 15:00:00,0.07667216,0,4.76165282e-04,8.19536746e-02,-8.87169006e-03
224,2024-08-24 16:00:00,0.05262318,0,-9.76707498e-04,4.51804286e-02,-2.72471532e-02
225,2024-08-24 17:00:00,0.05207558,0,-7.91527633e-04,4.19736483e-02,-2.47766070e-02
226,2024-08-24 18:00:00,0.05965742,0,5.69300238e-04,6.32123241e-02,1.29226926e-02
227,2024-08-24 19:00:00,0.03479672,0,5.99031811e-04,3.65998830e-02,1.32585535e-02
228,2024-08-24 20:00:00,0.07033510,0,-2.35066088e-04,6.89025851e-02,-1.31433828e-02
229,2024-08-24 21:00:00,0.07558689,0,-1.28243750e-05,7.63751351e-02,2.40163349e-03
230,2024-08-24 22:00:00,0.09542781,0,-4.62486519e-04,1.01954175e-01,6.40748512e-03
231,2024-08-24 23:00:00,0.09310727,0,-1.39751914e-04,9.52487119e-02,-1.07408058e-03
232,2024-08-25 00:00:00,0.10797687,0,5.21141035e-05,1.07087793e-01,-2.24400642e-02
233,2024-08-25 01:00:00,0.07006273,0,-1.51545654e-03,4.17392180e-02,-4.51515439e-02
234,2024-08-25 02:00:00,0.14217489,0,-4.37876640e-03,6.84993590e-02,-1.09554857e-01
235,2024-08-25 03:00:00,0.10255193,0,-2.40947477e-03,9.32662438e-02,-4.46579631e-02
236,2024-08-25 04:00:00,0.10844517,0,2.93766483e-03,6.02388830e-02,8.87557166e-02
237,2024-08-25 06:00:00,0.08020798,0,3.71448128e-03,7.91635893e-02,7.71345458e-02
238,2024-08-25 07:00:00,0.13897961,0,3.60575817e-03,8.29425861e-02,9.89325007e-02
239,2024-08-25 08:00:00,0.10783871,0,4.26521503e-03,1.08094274e-01,7.78203461e-02
240,2024-08-25 09:00:00,0.16908401,0,4.86176350e-03,5.63631196e-02,1.45313710e-01
241,2024-08-25 10:00:00,0.11678469,0,3.02793596e-03,8.74679507e-02,9.57409639e-02
242,2024-08-25 11:00:00,0.10872901,0,3.58467339e-03,5.43134330e-02,9.61920564e-02
243,2024-08-25 12:00:00,0.13196493,0,-2.62351134e-03,8.53726790e-02,-7.54274585e-02
244,2024-08-25 13:00:00,0.09800774,0,-6.21542510e-04,9.12085556e-02,-1.10335976e-02
245,2024-08-25 14:00:00,0.06332372,0,-1.19728512e-03,5.28123043e-02,-2.89926872e-02
