Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
57044,2025-03-10 18:45:00,0.010713,0.044996,0.032706,0.118813,17.165300,12.137990,7.6354,1291,0,1.00000omega,0.000181 + 0.00201theta + -0.00119omega + -0.00346theta^2 + -0.00065theta omega + 0.00202omega^2,0.000908*omega**2 - 1.0e-5*omega*theta + 6.0e-6*omega - 2.0e-6*theta**2 + 1.9e-5*theta - 4.9e-5,7.586848e-04,3.967694e-05
57045,2025-03-10 18:50:00,0.009975,0.076357,0.054452,0.097021,4.270893,3.020757,1.4733,1825,0,1.00000omega,-0.003701 + -0.38324theta + 0.00826omega + 0.00226theta^2 + -0.00154theta omega + -0.00562omega^2,-0.001916*omega**2 - 1.7e-5*omega*theta + 0.000365*omega + 1.0e-6*theta**2 - 0.000435*theta + 0.002197,6.205588e-04,2.855954e-05
57046,2025-03-10 18:55:00,0.029000,0.582326,0.412277,0.054885,2.383432,1.685788,55.8588,136,5,1.00000omega,0.019561 + -0.13237theta + 0.04568omega + 0.01398theta^2 + -0.00389theta omega + 0.00346omega^2,0.001155*omega**2 - 4.3e-5*omega*theta + 0.00026*omega + 5.0e-6*theta**2 + 0.000156*theta + 0.000189,nan,nan
57047,2025-03-10 19:00:00,0.021137,0.112607,0.081016,0.110315,10.012846,7.080581,-356.2111,494,0,1.00000omega,-0.012351 + -0.01615theta + -0.00798omega + -0.02634theta^2 + 0.00084theta omega + -0.00563omega^2,-0.001523*omega**2 + 8.0e-6*omega*theta - 0.000304*omega - 8.0e-6*theta**2 + 6.2e-5*theta - 0.000163,1.836920e-01,8.603500e-05
57048,2025-03-10 19:05:00,0.012797,0.198373,0.140562,0.219386,24.462927,17.298597,-0.9724,1720,0,1.00000omega,0.002531 + -0.00269theta + -0.00276omega + 0.00136theta^2 + -0.00072theta omega + -0.00000omega^2,-6.0e-6*omega*theta - 0.000169*omega + 7.0e-6*theta + 3.8e-5,4.419682e-04,3.903835e-05
57049,2025-03-10 19:10:00,0.013887,0.273366,0.193548,0.079641,6.006668,4.247729,11.9075,1768,0,1.00000omega,-0.004241 + -0.00145theta + -0.00139omega + -0.00006theta^2 + -0.00111theta omega + 0.00390omega^2,0.001653*omega**2 - 1.6e-5*omega*theta + 0.000183*omega - 0.e-6*theta + 6.0e-6,1.592774e-03,3.498154e-05
57050,2025-03-10 19:15:00,nan,nan,nan,nan,nan,nan,45.8738,76,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57051,2025-03-10 19:20:00,nan,nan,nan,nan,nan,nan,130.0087,35,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57052,2025-03-10 19:25:00,0.038749,0.468785,0.332612,0.096523,9.426348,6.665784,91.5699,510,0,1.00000omega,-0.003651 + -0.00435theta + 0.00938omega + -0.00006theta^2 + -0.00019theta omega + -0.00325omega^2,-0.001162*omega**2 - 2.0e-6*omega*theta + 0.00034*omega - 4.0e-6*theta + 4.4e-5,4.907149e-05,6.622720e-08
57053,2025-03-10 19:30:00,0.011620,0.102304,0.072805,0.257378,30.216737,21.367235,0.9553,1285,0,1.00000omega,0.002141 + 0.00934theta + -0.00415omega + -0.00029theta^2 + 0.00183theta omega + -0.00167omega^2,-0.000458*omega**2 + 1.7e-5*omega*theta - 9.4e-5*omega + 1.0e-5*theta + 3.5e-5,6.668828e-04,5.630815e-05
