Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
106565,2025-08-30 06:50:00,0.025084,2.021304,1.429388,0.001 1 + 1.031 omega + 0.192 omega^2,0.001 1 + 0.064 omega + 0.384 omega^2,1.3349906980e-03,-2.0275218412e-04,6.4461055590e-02,-5.3626224135e-06,-4.1067351412e-04,3.8427996182e-01
106566,2025-08-30 06:55:00,0.036908,2.493717,1.763517,0.003 1 + 1.038 omega + 0.127 omega^2,0.005 1 + 0.075 omega + 0.001 theta omega + 0.247 omega^2,5.2398281652e-03,1.6477623937e-04,7.4907736447e-02,4.3094679104e-06,5.3266944473e-04,2.4722692229e-01
106567,2025-08-30 07:00:00,0.011162,0.509135,0.360099,0.005 1 + 0.955 omega + 0.002 theta omega + 0.080 omega^2,0.009 1 + -0.092 omega + 0.003 theta omega + 0.157 omega^2,9.4238053367e-03,-3.9353973654e-04,-9.2021917240e-02,-3.0318587141e-06,3.3033750562e-03,1.5745248904e-01
106568,2025-08-30 07:05:00,0.017995,1.168724,0.826510,-0.009 1 + 0.834 omega + 0.001 theta omega + -0.693 omega^2,-0.017 1 + -0.318 omega + 0.002 theta omega + -1.338 omega^2,-1.7210594787e-02,4.4405696172e-04,-3.1820195526e-01,4.8590441288e-06,2.0466704867e-03,-1.3377639942e+00
106569,2025-08-30 07:10:00,0.028042,1.654032,1.169745,0.002 1 + 1.018 omega + 0.001 theta omega + 0.021 omega^2,0.003 1 + 0.028 omega + 0.001 theta omega,3.2980530428e-03,1.4510149768e-04,2.7666699843e-02,1.7574193706e-09,1.3776605508e-03,-1.5974161800e-05
106570,2025-08-30 07:15:00,0.036174,2.701395,1.910346,1.016 omega + -0.001 theta omega + 0.121 omega^2,-0.001 1 + 0.034 omega + -0.001 theta omega + 0.245 omega^2,-9.1898356058e-04,-2.7661514283e-04,3.3743524120e-02,-2.7725589020e-06,-1.1952246575e-03,2.4457687922e-01
106571,2025-08-30 07:20:00,0.028778,2.127219,1.504309,-0.001 1 + 1.000 omega + 0.042 omega^2,-0.001 1 + 0.001 omega + -0.001 theta omega + 0.079 omega^2,-1.0253726328e-03,-4.0755639691e-04,1.0164797650e-03,2.6584457352e-05,-9.5857715698e-04,7.9266763572e-02
106572,2025-08-30 07:25:00,0.054895,2.269627,1.605338,-0.001 theta + 1.002 omega + 0.004 theta omega + 0.006 omega^2,0.001 1 + -0.001 theta + 0.005 omega + 0.008 theta omega + 0.014 omega^2,8.9262287732e-04,-1.4503135421e-03,4.9727277656e-03,9.0867320145e-05,8.2117818484e-03,1.4253608174e-02
106573,2025-08-30 07:30:00,0.030691,2.340975,1.655462,1.016 omega + -0.001 theta omega + -0.056 omega^2,-0.001 1 + 0.036 omega + -0.003 theta omega + -0.130 omega^2,-6.3276701254e-04,-5.2060366477e-05,3.5715149575e-02,8.4287778320e-06,-2.7914142327e-03,-1.2950507926e-01
106574,2025-08-30 07:35:00,0.039504,2.072102,1.465464,0.997 omega + 0.003 theta omega + -0.203 omega^2,0.001 1 + -0.001 theta + -0.005 omega + 0.006 theta omega + -0.398 omega^2,7.2635221847e-04,-7.3842025227e-04,-4.8566135338e-03,1.6084724640e-04,5.6481806684e-03,-3.9832600623e-01
106575,2025-08-30 07:40:00,0.058032,1.377445,0.974865,1.010 omega + -0.001 theta omega + 0.100 omega^2,-0.001 1 + -0.001 theta + 0.021 omega + -0.003 theta omega + 0.196 omega^2,-6.4490004612e-04,-6.4197108448e-04,2.0817434502e-02,-2.3557449450e-05,-2.8184072010e-03,1.9585914157e-01
106576,2025-08-30 07:45:00,nan,nan,nan,-0.003 1 + 1.008 omega + 0.001 theta omega + 0.094 omega^2,-0.005 1 + -0.001 theta + 0.015 omega + 0.002 theta omega + 0.196 omega^2,-5.2727909641e-03,-9.7801926416e-04,1.5224539595e-02,-1.0228619247e-05,1.9377709198e-03,1.9628156422e-01
106577,2025-08-30 07:50:00,0.042797,2.524962,1.785674,-0.001 1 + 0.994 omega + 0.048 omega^2,-0.003 1 + -0.010 omega + 0.094 omega^2,-2.9097043039e-03,4.4905772371e-04,-9.8015517635e-03,-1.3247437506e-05,-1.8289267575e-04,9.3628750859e-02
106578,2025-08-30 07:55:00,0.061213,2.328141,1.646813,0.004 1 + 1.003 omega + -0.001 theta omega + -0.239 omega^2,0.008 1 + 0.006 omega + -0.001 theta omega + -0.476 omega^2,8.3512529725e-03,1.5186217647e-04,6.2208109094e-03,-1.1193299560e-04,-1.4872092168e-03,-4.7609294920e-01
106579,2025-08-30 08:00:00,0.017137,0.649355,0.459323,0.001 1 + 0.996 omega + 0.028 omega^2,0.002 1 + -0.008 omega + 0.054 omega^2,2.1581623337e-03,-3.4951207263e-04,-7.5853193296e-03,1.1642388190e-05,8.8812133384e-06,5.3975653265e-02
106580,2025-08-30 08:05:00,0.028459,1.947164,1.377000,0.993 omega + 0.003 theta omega + -0.062 omega^2,-0.013 omega + 0.006 theta omega + -0.105 omega^2,-3.9674457071e-04,2.1331295164e-04,-1.2853383161e-02,-6.0628290109e-05,5.7318635497e-03,-1.0543261008e-01
106581,2025-08-30 08:10:00,0.061411,3.134256,2.216679,-0.001 1 + -0.001 theta + 1.003 omega + 0.005 theta omega + -0.344 omega^2,-0.001 1 + -0.002 theta + 0.006 omega + 0.010 theta omega + -0.673 omega^2,-1.3284148833e-03,-2.2760276958e-03,5.7604891498e-03,-2.2962338398e-04,9.9801904833e-03,-6.7263691964e-01
106582,2025-08-30 08:15:00,0.146937,2.770444,1.961753,-0.001 1 + 1.011 omega + 0.003 theta omega + -0.017 omega^2,-0.002 1 + -0.001 theta + 0.021 omega + 0.005 theta omega + -0.026 omega^2,-1.5305016426e-03,-7.7725316291e-04,2.1079644292e-02,-3.7174925388e-05,5.3826121608e-03,-2.6476183844e-02
