Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
15049,2024-10-08 03:35:00,0.016155,0.866886,0.613087,0.002 1 + 1.023 omega + 0.064 omega^2,0.004 1 + 0.048 omega + 0.001 theta omega + 0.127 omega^2,3.7164690298e-03,1.1246792206e-04,4.8118356148e-02,1.7036361586e-06,5.9300125327e-04,1.2746866585e-01
15050,2024-10-08 03:40:00,0.082425,12.049435,8.520436,0.006 1 + 1.057 omega + 0.001 theta omega + 0.096 omega^2,0.012 1 + 0.124 omega + 0.002 theta omega + 0.208 omega^2,1.2311532454e-02,1.7707614824e-04,1.2427737448e-01,-5.5315903498e-06,2.4893684527e-03,2.0835685306e-01
15051,2024-10-08 03:45:00,0.035707,5.275981,3.730767,-0.001 1 + 0.974 omega + 0.001 theta omega + -0.138 omega^2,-0.002 1 + -0.058 omega + 0.002 theta omega + -0.300 omega^2,-2.0546594636e-03,2.7490893558e-04,-5.7867209048e-02,-5.0636699184e-07,1.8422656362e-03,-2.9981556877e-01
15052,2024-10-08 03:50:00,nan,nan,nan,-0.014 1 + -0.001 theta + 0.946 omega + -0.004 theta omega + 0.006 omega^2,-0.028 1 + -0.003 theta + -0.110 omega + -0.007 theta omega + 0.013 omega^2,-2.8005077758e-02,-2.5540522402e-03,-1.0974073465e-01,-4.4268786876e-05,-7.4386068700e-03,1.3240692917e-02
15053,2024-10-08 03:55:00,0.106835,7.857007,5.556256,1.010 omega + 0.002 theta omega + -0.049 omega^2,-0.001 1 + -0.001 theta + 0.023 omega + 0.004 theta omega + -0.089 omega^2,-6.3141724300e-04,-5.4480127164e-04,2.2616070251e-02,-3.8291493017e-05,4.2160731233e-03,-8.9134048523e-02
15054,2024-10-08 04:00:00,0.048053,3.027716,2.141188,0.002 1 + 1.006 omega + -0.079 omega^2,0.003 1 + 0.011 omega + -0.158 omega^2,3.4576723998e-03,-3.0445047971e-04,1.1435571861e-02,-7.7559175670e-07,-4.0598717966e-05,-1.5818911274e-01
15055,2024-10-08 04:05:00,0.109141,5.271404,3.728245,0.001 1 + 0.987 omega + -0.003 theta omega + -0.028 omega^2,0.001 1 + 0.001 theta + -0.026 omega + -0.005 theta omega + -0.056 omega^2,1.3958707201e-03,5.2413401812e-04,-2.5738879497e-02,7.7617917572e-05,-5.3439833348e-03,-5.6140984720e-02
15056,2024-10-08 04:10:00,0.035755,2.185404,1.545521,0.001 1 + 1.023 omega + 0.001 theta omega + -0.141 omega^2,0.002 1 + -0.001 theta + 0.045 omega + 0.001 theta omega + -0.273 omega^2,2.2094829874e-03,-5.9115243373e-04,4.5418589551e-02,1.1849000474e-05,1.1328165387e-03,-2.7342452479e-01
15057,2024-10-08 04:15:00,0.014630,0.421269,0.298062,1.008 omega + 0.025 omega^2,0.017 omega + 0.052 omega^2,4.6490798265e-04,-2.3059555832e-04,1.6540038360e-02,-2.6392385809e-05,-4.7453390717e-04,5.1619568595e-02
15058,2024-10-08 04:20:00,0.018583,0.516793,0.365664,0.002 1 + -0.001 theta + 0.986 omega + 0.001 theta omega + -0.111 omega^2,0.004 1 + -0.001 theta + -0.027 omega + 0.001 theta omega + -0.217 omega^2,3.9691204457e-03,-1.0255758807e-03,-2.6930385135e-02,-1.7150421357e-04,1.3530295692e-03,-2.1693083399e-01
15059,2024-10-08 04:25:00,0.131621,6.165162,4.360421,-0.001 1 + 0.991 omega + -0.001 theta omega + -0.011 omega^2,-0.003 1 + -0.017 omega + -0.002 theta omega + -0.024 omega^2,-2.7259396006e-03,-1.1421657730e-04,-1.6661328204e-02,2.1172534423e-05,-1.6381444269e-03,-2.4274951799e-02
15060,2024-10-08 04:30:00,nan,nan,nan,0.001 1 + 1.019 omega + 0.001 theta omega + 0.056 omega^2,0.001 1 + 0.001 theta + 0.038 omega + 0.003 theta omega + 0.118 omega^2,1.4512320070e-03,9.8884092798e-04,3.8421636664e-02,6.1953073230e-05,2.8020806315e-03,1.1788099980e-01
15061,2024-10-08 04:35:00,0.073738,3.674711,2.598936,0.002 1 + 0.992 omega + 0.001 theta omega + -0.059 omega^2,0.004 1 + -0.018 omega + 0.002 theta omega + -0.105 omega^2,4.4188500567e-03,-4.4917698038e-04,-1.8034933567e-02,-5.1737417041e-06,2.0447266737e-03,-1.0467038395e-01
15062,2024-10-08 04:40:00,0.025341,1.265929,0.895326,0.002 1 + 1.002 omega + 0.006 omega^2,0.003 1 + 0.006 omega + -0.001 theta omega + 0.004 omega^2,3.0739622169e-03,-4.2286997246e-04,5.7770070106e-03,1.2213732431e-05,-6.3648128378e-04,4.1765727132e-03
15063,2024-10-08 04:45:00,0.026589,0.605560,0.428608,0.001 1 + 1.002 omega + -0.011 omega^2,0.002 1 + 0.007 omega + -0.027 omega^2,2.3787074694e-03,-9.8080541945e-05,6.7705531201e-03,2.6698285874e-07,-4.0564936618e-04,-2.7316448406e-02
15064,2024-10-08 04:50:00,0.038473,1.231683,0.871356,0.001 1 + 0.995 omega + -0.019 omega^2,0.002 1 + -0.008 omega + 0.001 theta omega + -0.030 omega^2,2.4388614077e-03,-1.9308355104e-04,-8.2543918398e-03,-6.1244984521e-06,8.4496288711e-04,-3.0036375806e-02
