Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
69561,2025-04-23 11:15:00,0.045181,4.999735,3.535491,-0.006 1 + 1.079 omega + -0.001 theta omega + -0.224 omega^2,-0.011 1 + 0.162 omega + -0.002 theta omega + -0.456 omega^2,-1.1293644224e-02,1.9135287150e-04,1.6218505412e-01,-4.1639637173e-07,-2.0157496876e-03,-4.5635521801e-01
69562,2025-04-23 11:20:00,0.108320,14.339839,10.140087,-0.003 1 + 1.071 omega + -0.002 theta omega + -0.189 omega^2,-0.006 1 + 0.147 omega + -0.005 theta omega + -0.400 omega^2,-5.5131932783e-03,-3.4867609709e-04,1.4718513552e-01,3.1796095022e-05,-4.6048257335e-03,-4.0008922732e-01
69563,2025-04-23 11:25:00,0.028902,1.149658,0.813188,0.008 1 + 0.913 omega + 0.001 theta omega + 0.241 omega^2,0.014 1 + -0.160 omega + 0.002 theta omega + 0.443 omega^2,1.4227232229e-02,-3.2714486316e-04,-1.5974789641e-01,9.1564774669e-07,1.8994822891e-03,4.4312131851e-01
69564,2025-04-23 11:30:00,0.016708,0.354165,0.250711,0.006 1 + 0.938 omega + 0.004 theta omega + 0.081 omega^2,0.012 1 + -0.001 theta + -0.117 omega + 0.007 theta omega + 0.150 omega^2,1.2020917429e-02,-8.8186522762e-04,-1.1713052444e-01,2.3922891113e-06,6.7957142461e-03,1.4964585611e-01
69565,2025-04-23 11:35:00,0.064360,3.016269,2.133310,1.002 omega + -0.022 omega^2,-0.001 1 + 0.005 omega + -0.054 omega^2,-9.5524787950e-04,2.2940198117e-05,5.1092400715e-03,1.6502667542e-04,2.3087451134e-04,-5.4314562355e-02
69566,2025-04-23 11:40:00,0.025393,0.990820,0.700845,1.000 omega + -0.004 omega^2,0.001 1 + -0.001 omega^2,6.8303827879e-04,-1.8328453121e-05,4.5882029900e-04,-1.0204865750e-06,1.3105593600e-04,-1.3111786702e-03
69567,2025-04-23 11:45:00,nan,nan,nan,-0.001 1 + 1.014 omega + -0.008 omega^2,-0.004 1 + 0.036 omega + -0.001 theta omega + -0.032 omega^2,-3.5341984549e-03,1.5143870759e-04,3.5810712425e-02,-2.4377821416e-06,-7.7138149372e-04,-3.1991416421e-02
69568,2025-04-23 11:50:00,0.051615,2.706202,1.913922,-0.002 1 + 1.006 omega + -0.012 omega^2,-0.003 1 + 0.013 omega + -0.024 omega^2,-3.2072967969e-03,4.0774184935e-04,1.2860553348e-02,-1.2196071393e-05,-4.3622350347e-04,-2.3674890021e-02
69569,2025-04-23 11:55:00,0.045172,5.494353,3.885226,-0.001 1 + 1.022 omega + -0.001 theta omega + -0.019 omega^2,-0.003 1 + 0.043 omega + -0.002 theta omega + -0.032 omega^2,-2.6015640673e-03,9.8661120429e-06,4.3370916826e-02,7.5557302435e-06,-2.2778548510e-03,-3.2433332069e-02
69570,2025-04-23 12:00:00,0.027141,2.199598,1.555469,-0.001 1 + 1.031 omega + -0.141 omega^2,-0.003 1 + 0.063 omega + 0.001 theta omega + -0.271 omega^2,-2.5236699220e-03,-1.5807852679e-04,6.3238941729e-02,1.1743897309e-06,6.2154601536e-04,-2.7113815905e-01
69571,2025-04-23 12:05:00,0.057339,1.983128,1.402870,0.995 omega + 0.049 omega^2,-0.009 omega + 0.112 omega^2,1.6536493444e-04,9.2483589053e-05,-9.0444221066e-03,-6.3735081302e-06,-4.0880248240e-04,1.1212891820e-01
69572,2025-04-23 12:10:00,0.025232,1.863848,1.318061,-0.004 1 + 1.047 omega + -0.003 theta omega + -0.098 omega^2,-0.011 1 + 0.001 theta + 0.123 omega + -0.007 theta omega + -0.277 omega^2,-1.0746561956e-02,8.0672987804e-04,1.2320740963e-01,-6.0709237301e-06,-7.4745722809e-03,-2.7695411636e-01
69573,2025-04-23 12:15:00,0.190313,23.589204,16.680629,-0.004 1 + 1.053 omega + -0.001 theta omega + -0.054 omega^2,-0.008 1 + 0.109 omega + -0.003 theta omega + -0.115 omega^2,-7.8097164652e-03,-2.0353599147e-04,1.0923161410e-01,1.4374267319e-05,-2.8272001537e-03,-1.1503119385e-01
69574,2025-04-23 12:20:00,2.233260,169.921401,120.162952,-0.010 1 + 0.001 theta + 1.013 omega + -0.002 theta omega + 0.218 omega^2,-0.020 1 + 0.001 theta + 0.030 omega + -0.004 theta omega + 0.427 omega^2,-1.9792540866e-02,1.4368127627e-03,2.9871827945e-02,-2.0564315416e-05,-4.1829056226e-03,4.2705825202e-01
69575,2025-04-23 12:25:00,0.021333,0.915648,0.647637,-0.002 1 + 1.015 omega + -0.001 theta omega + 0.003 omega^2,-0.006 1 + 0.038 omega + -0.002 theta omega + -0.011 omega^2,-5.5554160301e-03,3.9038455967e-04,3.8119797221e-02,-5.5327411494e-06,-1.9209043150e-03,-1.0827503120e-02
69576,2025-04-23 12:30:00,0.011415,0.968403,0.684812,0.001 1 + 1.026 omega + 0.001 theta omega + -0.231 omega^2,0.002 1 + 0.052 omega + 0.001 theta omega + -0.459 omega^2,2.3777524288e-03,-7.5093255992e-05,5.2477738789e-02,-5.0877644593e-06,1.2133363808e-03,-4.5885232394e-01
69577,2025-04-23 12:35:00,0.067647,6.110957,4.321364,1.007 omega + -0.033 omega^2,0.019 omega + -0.079 omega^2,-2.3243689404e-04,-5.5817609776e-05,1.8573567239e-02,7.8391151112e-06,-3.1222112698e-04,-7.9145488925e-02
69578,2025-04-23 12:40:00,0.027848,2.740161,1.937686,1.000 omega + -0.001 theta omega + 0.007 omega^2,-0.001 1 + 0.005 omega + -0.001 theta omega + 0.007 omega^2,-1.0349895163e-03,3.2340542116e-04,4.5113497768e-03,-4.7788360151e-06,-1.1252558696e-03,6.5266688496e-03
69579,2025-04-23 12:45:00,0.029594,1.276398,0.902792,1.002 omega + -0.001 theta omega + 0.027 omega^2,0.002 omega + -0.002 theta omega + 0.069 omega^2,3.4508815981e-04,-9.4981104439e-05,2.0880387095e-03,9.5350990933e-06,-1.6876004384e-03,6.9095896758e-02
69580,2025-04-23 12:50:00,0.059377,5.926776,4.191074,1.023 omega + -0.001 theta omega + -0.052 omega^2,-0.001 1 + 0.049 omega + -0.002 theta omega + -0.112 omega^2,-8.6264886321e-04,-1.5405792388e-04,4.9388845878e-02,6.8492868350e-06,-1.6005978893e-03,-1.1206931053e-01
69581,2025-04-23 12:55:00,0.026245,0.933044,0.660023,1.013 omega + -0.048 omega^2,-0.001 1 + 0.028 omega + -0.105 omega^2,-8.4939578289e-04,7.1272561687e-05,2.8044142536e-02,-4.9965197205e-06,-3.9558093018e-04,-1.0529533336e-01
69582,2025-04-23 13:00:00,0.044092,1.656749,1.171914,-0.001 1 + 0.997 omega + -0.031 omega^2,-0.001 1 + -0.005 omega + -0.062 omega^2,-1.1161973787e-03,-2.5696469253e-05,-4.5915031870e-03,8.9896130951e-06,-2.0673600698e-04,-6.1946710041e-02
